Use_Code,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
SingleFamily,3429240,1981,31643,4953,5,5,6122261
SingleFamily,381052,1962,8161,1680,2,3,778322
SingleFamily,427869,2008,5135,2622,3,4,640527
Triplex,266590,1921,4999,2262,3,6,589336
SingleFamily,38525,1921,6859,684,1,2,457969
SingleFamily,371453,1963,6807,2164,3,4,1210477
SingleFamily,462151,1950,3270,1024,2,1,842842
SingleFamily,488275,1949,6011,1012,1,2,673801
SingleFamily,936768,1988,6600,3986,4,4,1052972
SingleFamily,220777,1980,3049,1506,2,4,450052
SingleFamily,199008,1955,5625,1375,2,4,626277
SingleFamily,588022,1905,6804,1774,2,4,759428
SingleFamily,586673,1968,11543,2552,3,4,877600
SingleFamily,250943,1953,7191,2449,4,5,846854
SingleFamily,2913120,1940,10272,2952,4.5,6,3470458
SingleFamily,1035197,1987,5009,2600,3,4,1600074
SingleFamily,192647,1947,6251,1116,1,3,518345
Triplex,240180,1964,5442,2671,3,6,678205
SingleFamily,27091,1944,5375,810,1,2,344462
SingleFamily,604471,1948,6560,650,1,2,824625
SingleFamily,90227,1954,6317,1628,2,3,576888
SingleFamily,546138,1953,3782,1158,2,2,2361622
SingleFamily,263355,1954,6098,1261,2,3,529183
SingleFamily,1322992,1957,6455,2060,3,4,1342975
SingleFamily,414782,1956,5662,1471,2,3,604763
SingleFamily,288868,1948,5488,2188,2,4,741787
SingleFamily,208963,1947,7008,1080,1,3,554299
SingleFamily,397281,1953,7442,1568,2,4,664054
SingleFamily,363019,1953,7499,1234,2,3,557515
SingleFamily,1498791,1941,7030,2445,3,5,1988294
SingleFamily,151368,1947,9130,1158,1,3,887221
SingleFamily,804529,1965,14746,2634,4,4,2183057
SingleFamily,396285,1950,17480,1950,3,3,712531
SingleFamily,315059,1983,10904,2179,2,4,744262
SingleFamily,57489,1926,6750,1186,1,2,964840
SingleFamily,525e3,2015,1558,1401,3,3,551082
SingleFamily,87711,1939,6166,1756,3,3,615907
SingleFamily,490049,1923,3000,916,1,1,881394
SingleFamily,252006,1939,24350,3200,3,4,3628939
SingleFamily,211527,1936,9949,2190,2,3,1612304
SingleFamily,1303908,1958,16795,4216,4,4,5215552
SingleFamily,77297,1924,10442,1652,1,2,1343922
Quadruplex,75147,1922,7979,4632,4,8,1487285
SingleFamily,3339500,2012,6316,4172,6,4,3538480
SingleFamily,191865,1947,5021,832,1,2,1756743
SingleFamily,1170450,1950,6843,1632,2,3,1349952
SingleFamily,742822,1962,11325,1956,2,3,846902
SingleFamily,643e3,1961,8303,1795,2,3,651663
SingleFamily,327725,1925,6002,1785,2,3,566057
MultiFamily2To4,634525,1925,5227,2442,4,5,1442638
SingleFamily,659688,1966,8841,2154,2,3,1528977
SingleFamily,186132,1941,6606,1119,1,2,467706
SingleFamily,86936,1949,5495,1026,1,2,701268
SingleFamily,101267,1951,7829,1087,1,3,504296
SingleFamily,901632,2009,17669,3361,4,5,945959
SingleFamily,488975,1947,5799,1481,2,3,1432409
SingleFamily,65013,1955,6006,1166,2,3,539948
SingleFamily,712374,1925,3336,1044,2,3,806276
SingleFamily,693247,1977,47044,1812,2,3,2021392
Condominium,174237,1976,495261,1347,2,2,615798
Duplex,448137,2011,5155,3320,6,8,734253
SingleFamily,334741,1925,8346,2207,1,2,1329628
SingleFamily,328229,1947,6312,1677,2,2,1128320
SingleFamily,547476,1951,28921,3734,4,5,1468827
SingleFamily,462886,2007,28056,2107,3,5,589328
SingleFamily,863430,1969,19166,2684,3,7,981149
SingleFamily,510499,1925,1900,811,1,2,864059
SingleFamily,11e5,1945,7405,1223,1,3,1459257
SingleFamily,950775,1963,13155,3120,4,5,1076371
SingleFamily,295e3,1903,3468,1198,1,2,444316
SingleFamily,489904,1949,15928,2122,2,3,780784
SingleFamily,372363,1982,5198,1104,2,3,582351
SingleFamily,795600,1949,22215,2989,3,4,1229442
SingleFamily,1044954,2016,5619,2500,3,4,1587447
SingleFamily,1535250,1975,3780,1317,2,3,1890491
SingleFamily,918789,1950,5662,942,1,2,1347293
SingleFamily,76582,1947,6651,1001,1,3,489797
SingleFamily,881980,1985,7274,2515,3,4,910252
Duplex,407312,1921,6249,2589,2,5,1180476
SingleFamily,81417,1924,4801,1576,2,3,559464
SingleFamily,593775,1974,10561,2690,3,3,1004625
SingleFamily,348e3,1909,5462,998,1,3,412304
SingleFamily,549256,1959,8398,1570,2,4,599879
SingleFamily,1147527,1968,13503,2925,4,4,2986679
SingleFamily,9361105,1941,28524,5478,5,7,10790904
SingleFamily,211854,1922,5129,1164,2,2,387928
SingleFamily,733481,1949,5488,1826,3,4,827449
SingleFamily,490353,1910,6075,1300,1,3,395353
SingleFamily,408e3,1949,5662,814,1,2,510394
SingleFamily,536520,1949,8096,1098,1,3,575014
SingleFamily,449259,1951,5662,1582,3,4,581677
SingleFamily,194839,1948,8049,1090,1,3,482271
SingleFamily,700928,1922,6400,1400,2,2,2037916
SingleFamily,395982,1935,21754,1304,1,2,837315
SingleFamily,645047,1942,6146,1346,1,2,798052
SingleFamily,49080,1951,7229,1067,1,3,433207
Quadruplex,428637,1923,5089,3473,1,3,1802561
SingleFamily,365549,1953,6752,950,1,2,639733
SingleFamily,74363,1952,9000,1327,1,4,465955
Duplex,400799,1905,5900,3155,3,7,1329232
SingleFamily,337791,1955,6000,1300,2,3,501618
SingleFamily,541125,2006,8712,3861,4,6,1058148
SingleFamily,92267,1947,6547,1915,2,4,978425
SingleFamily,141245,1926,4042,877,1,2,378906
SingleFamily,127222,1920,6001,784,1,2,369644
SingleFamily,149863,1963,7594,2523,2,4,855346
SingleFamily,239291,1956,3253,1017,1,3,341592
SingleFamily,833e3,1922,36590,1994,1,3,698969
SingleFamily,310813,1958,7552,1702,2,4,621770
SingleFamily,349414,1919,6550,1462,1,2,1848321
SingleFamily,1052143,1952,5769,1647,3,2,2596247
SingleFamily,55541,1950,6749,1242,1,3,606291
MultiFamily2To4,268698,1936,6490,4447,6,8,2074019
SingleFamily,500972,1940,4400,1955,2,5,1120602
SingleFamily,54459,1954,7499,1264,2,3,563122
SingleFamily,255e3,1939,5802,964,2,3,487324
